section_id	title	level	printed_page	pdf_page	end_pdf_page
front_matter	Title, copyright, dedication	0	unknown	1	5
toc	Table of Contents	0	v	6	12
preface	Preface	0	xiii	13	20
part01	Part I: Storage Engines	0	1	21	26
ch01	Introduction and Overview	1	7	27	44
ch02	B-Tree Basics	1	25	45	64
ch03	File Formats	1	45	65	80
ch04	Implementing B-Trees	1	61	81	98
ch05	Transaction Processing and Recovery	1	79	99	130
ch06	B-Tree Variants	1	111	131	148
ch07	Log-Structured Storage	1	129	149	184
part01_conclusion	Part I Conclusion	1	165	185	186
part02	Part II: Distributed Systems	0	167	187	190
ch08	Introduction and Overview	1	171	191	214
ch09	Failure Detection	1	195	215	224
ch10	Leader Election	1	205	225	234
ch11	Replication and Consistency	1	215	235	262
ch12	Anti-Entropy and Dissemination	1	243	263	276
ch13	Distributed Transactions	1	257	277	298
ch14	Consensus	1	279	299	332
part02_conclusion	Part II Conclusion	1	313	333	336
app_a	Appendix A: Bibliography	0	317	337	356
index	Index	0	337	357	369
author_colophon	About the Author and Colophon	0	unknown	370	371
