section_id	title	level	printed_page	pdf_page	end_pdf_page
part-1	Part 1: A quick introduction to Go	0	1	26	205
1	Chapter 1: Essential Go	1	3	28	71
2	Chapter 2: Data Collections and Functions	1	47	72	115
3	Chapter 3: Go Concurrency	1	91	116	159
3.races	Catching deadlocks and race conditions	2	119	144	156
4	Chapter 4: Advanced Go	1	135	160	205
part-2	Part 2: Systems Programming Essentials	0	181	206	387
5	Chapter 5: Working with File I/O	1	183	208	247
5.append	Appending to files	2	205	230	231
6	Chapter 6: UNIX Signals and File Systems	1	223	248	283
6.walk	Traversing directory trees	2	231	256	260
7	Chapter 7: Working with Structured Data and Databases	1	259	284	321
7.json	Working with JSON data	2	260	285	292
8	Chapter 8: Programming TCP/IP Services	1	297	322	347
8.tcp	Developing a TCP server	2	298	323	329
9	Chapter 9: Creating Web Services	1	323	348	387
part-3	Part 3: Applications	0	363	388	571
10	Chapter 10: Writing a Programming Language	1	365	390	433
11	Chapter 11: Adding New Features to SMALL	1	409	434	459
12	Chapter 12: Time Series Distances	1	435	460	491
13	Chapter 13: Time Series Data Mining	1	467	492	529
14	Chapter 14: Creating an Index for Unix Files	1	505	530	571
14.binary	Understanding Binary Trees	2	506	531	537
14.radix	Understanding Radix Trees	2	513	538	544
14.service	Creating a filesystem index service	2	520	545	559
14.server	The server code	3	521	546	558
14.usage	Using the service	3	534	559	559
14.client	Creating a command-line client	2	535	560	567
14.fsnotify	About fsnotify	3	535	560	567
14.logging	New in Go 1.26: log to multiple targets	2	543	568	570
14.summary	Summary	2	545	570	570
14.exercises	Exercises	2	546	571	571
