section_id	title	level	printed_page	pdf_page	end_pdf_page
foreword	Foreword	1	vii	9	12
introduction	Introduction	1	xi	13	24
part-1	Part I: The Big Picture	1	3	25	136
chapter-1	What Would You Say You Do Here?	2	3	25	52
chapter-2	Three Maps	2	31	53	90
chapter-3	Creating the Big Picture	2	69	91	136
part-2	Part II: Execution	1	115	137	246
chapter-4	Finite Time	2	115	137	172
chapter-5	Leading Big Projects	2	151	173	210
chapter-6	Why Have We Stopped?	2	189	211	246
part-3	Part III: Leveling Up	1	225	247	334
chapter-7	You're a Role Model Now (Sorry)	2	225	247	274
chapter-8	Good Influence at Scale	2	253	275	306
chapter-9	What's Next?	2	285	307	334
index	Index	1	313	335	357
about	About the Author and Colophon	1	unpaginated	358	358
publisher-ad	Publisher advertisement	1	unpaginated	359	359
